Name,ip,netmask,gateway,Dns1,Dns2
alerts1,10.123.246.14,255.255.255.0,10.123.246.1,10.123.246.11,172.16.1.110
alerts1-db,10.123.246.15,255.255.255.0,10.123.246.1,10.123.246.11,172.16.1.110
